2023-03-10 06:27:56 status not-installed libalgorithm-diff-perl:all <none>
2023-03-10 06:27:56 status installed libsource-highlight4v5:arm64 3.1.9-3+b1
2023-03-10 06:27:56 remove libsource-highlight4v5:arm64 3.1.9-3+b1 <none>
2023-03-10 06:27:56 status half-configured libsource-highlight4v5:arm64 3.1.9-3+b1
2023-03-10 06:27:57 status half-installed libsource-highlight4v5:arm64 3.1.9-3+b1
2023-03-10 06:27:57 status config-files libsource-highlight4v5:arm64 3.1.9-3+b1
2023-03-10 06:27:57 status not-installed libsource-highlight4v5:arm64 <none>
2023-03-10 06:27:57 status installed libboost-regex1.74.0:arm64 1.74.0-9
2023-03-10 06:27:57 remove libboost-regex1.74.0:arm64 1.74.0-9 <none>
2023-03-10 06:27:57 status half-configured libboost-regex1.74.0:arm64 1.74.0-9
2023-03-10 06:27:57 status half-installed libboost-regex1.74.0:arm64 1.74.0-9
2023-03-10 06:27:57 status config-files libboost-regex1.74.0:arm64 1.74.0-9
2023-03-10 06:27:57 status not-installed libboost-regex1.74.0:arm64 <none>
2023-03-10 06:27:57 status installed pkg-config:arm64 0.29.2-1
2023-03-10 06:27:57 remove pkg-config:arm64 0.29.2-1 <none>
2023-03-10 06:27:57 status half-configured pkg-config:arm64 0.29.2-1
2023-03-10 06:27:57 status half-installed pkg-config:arm64 0.29.2-1
2023-03-10 06:27:57 status config-files pkg-config:arm64 0.29.2-1
2023-03-10 06:27:57 status installed libdpkg-perl:all 1.20.12
2023-03-10 06:27:57 remove libdpkg-perl:all 1.20.12 <none>
2023-03-10 06:27:57 status half-configured libdpkg-perl:all 1.20.12
2023-03-10 06:27:57 status half-installed libdpkg-perl:all 1.20.12
2023-03-10 06:27:57 status config-files libdpkg-perl:all 1.20.12
2023-03-10 06:27:57 status not-installed libdpkg-perl:all <none>
2023-03-10 06:27:57 status installed libfile-fcntllock-perl:arm64 0.22-3+b7
2023-03-10 06:27:57 remove libfile-fcntllock-perl:arm64 0.22-3+b7 <none>
2023-03-10 06:27:57 status half-configured libfile-fcntllock-perl:arm64 0.22-3+b7
2023-03-10 06:27:57 status half-installed libfile-fcntllock-perl:arm64 0.22-3+b7
2023-03-10 06:27:57 status config-files libfile-fcntllock-perl:arm64 0.22-3+b7
2023-03-10 06:27:57 status not-installed libfile-fcntllock-perl:arm64 <none>
2023-03-10 06:27:57 status installed libfreetype6-dev:arm64 2.10.4+dfsg-1+deb11u1
2023-03-10 06:27:57 remove libfreetype6-dev:arm64 2.10.4+dfsg-1+deb11u1 <none>
2023-03-10 06:27:57 status half-configured libfreetype6-dev:arm64 2.10.4+dfsg-1+deb11u1
2023-03-10 06:27:57 status half-installed libfreetype6-dev:arm64 2.10.4+dfsg-1+deb11u1
2023-03-10 06:27:57 status config-files libfreetype6-dev:arm64 2.10.4+dfsg-1+deb11u1
2023-03-10 06:27:57 status installed libfreetype-dev:arm64 2.10.4+dfsg-1+deb11u1
2023-03-10 06:27:57 remove libfreetype-dev:arm64 2.10.4+dfsg-1+deb11u1 <none>
2023-03-10 06:27:57 status half-configured libfreetype-dev:arm64 2.10.4+dfsg-1+deb11u1
2023-03-10 06:27:57 status half-installed libfreetype-dev:arm64 2.10.4+dfsg-1+deb11u1
2023-03-10 06:27:57 status config-files libfreetype-dev:arm64 2.10.4+dfsg-1+deb11u1
2023-03-10 06:27:57 status not-installed libfreetype-dev:arm64 <none>
2023-03-10 06:27:57 status installed libwbclient0:arm64 2:4.13.13+dfsg-1~deb11u5
2023-03-10 06:27:57 remove libwbclient0:arm64 2:4.13.13+dfsg-1~deb11u5 <none>
2023-03-10 06:27:57 status half-configured libwbclient0:arm64 2:4.13.13+dfsg-1~deb11u5
2023-03-10 06:27:57 status half-installed libwbclient0:arm64 2:4.13.13+dfsg-1~deb11u5
2023-03-10 06:27:57 status config-files libwbclient0:arm64 2:4.13.13+dfsg-1~deb11u5
2023-03-10 06:27:57 status not-installed libwbclient0:arm64 <none>
2023-03-10 06:27:57 status installed libxml2:arm64 2.9.10+dfsg-6.7+deb11u3
2023-03-10 06:27:57 remove libxml2:arm64 2.9.10+dfsg-6.7+deb11u3 <none>
2023-03-10 06:27:57 status half-configured libxml2:arm64 2.9.10+dfsg-6.7+deb11u3
2023-03-10 06:27:57 status half-installed libxml2:arm64 2.9.10+dfsg-6.7+deb11u3
2023-03-10 06:27:57 status config-files libxml2:arm64 2.9.10+dfsg-6.7+deb11u3
2023-03-10 06:27:57 status not-installed libxml2:arm64 <none>
2023-03-10 06:27:57 status installed libicu67:arm64 67.1-7
2023-03-10 06:27:57 remove libicu67:arm64 67.1-7 <none>
2023-03-10 06:27:57 status half-configured libicu67:arm64 67.1-7
2023-03-10 06:27:57 status half-installed libicu67:arm64 67.1-7
2023-03-10 06:27:57 status config-files libicu67:arm64 67.1-7
2023-03-10 06:27:57 status not-installed libicu67:arm64 <none>
2023-03-10 06:27:57 status installed libpng-dev:arm64 1.6.37-3
2023-03-10 06:27:57 remove libpng-dev:arm64 1.6.37-3 <none>
2023-03-10 06:27:57 status half-configured libpng-dev:arm64 1.6.37-3
2023-03-10 06:27:57 status half-installed libpng-dev:arm64 1.6.37-3
2023-03-10 06:27:57 status config-files libpng-dev:arm64 1.6.37-3
2023-03-10 06:27:57 status not-installed libpng-dev:arm64 <none>
2023-03-10 06:27:57 status installed libraspberrypi-doc:all 1:2+git20220616~133208+6e8f786-1
2023-03-10 06:27:57 remove libraspberrypi-doc:all 1:2+git20220616~133208+6e8f786-1 <none>
2023-03-10 06:27:57 status half-configured libraspberrypi-doc:all 1:2+git20220616~133208+6e8f786-1
2023-03-10 06:27:57 status half-installed libraspberrypi-doc:all 1:2+git20220616~133208+6e8f786-1
